"","SNP1","SNP2","SNP3"
"Xushu18",298,209,193
"Xushu18S1-001",187,222,228
"Xushu18S1-002",201,225,182
"Xushu18S1-003",157,226,105
"Xushu18S1-004",175,221,176
"Xushu18S1-005",283,263,201
"Xushu18S1-006",213,235,157
"Xushu18S1-007",233,194,162
"Xushu18S1-008",183,207,247
"Xushu18S1-009",322,294,185
"Xushu18S1-011",176,185,228
"Xushu18S1-012",188,153,159
"Xushu18S1-013",155,168,103
"Xushu18S1-014",158,255,232
"Xushu18S1-015",244,179,189
"Xushu18S1-016",196,208,255
"Xushu18S1-019",269,248,236
"Xushu18S1-020",259,308,268
"Xushu18S1-021",50,151,94
"Xushu18S1-022",201,223,146
"Xushu18S1-023",164,255,133
"Xushu18S1-024",163,240,278
"Xushu18S1-025",99,204,179
"Xushu18S1-026",168,195,99
"Xushu18S1-027",235,166,229
"Xushu18S1-028",169,291,274
"Xushu18S1-029",258,181,148
"Xushu18S1-030",207,165,301
"Xushu18S1-031",271,213,207
"Xushu18S1-032",98,273,221
"Xushu18S1-033",260,113,199
"Xushu18S1-035",168,231,222
"Xushu18S1-036",150,189,232
"Xushu18S1-037",226,315,281
"Xushu18S1-038",153,203,131
"Xushu18S1-039",263,182,213
"Xushu18S1-041",222,215,223
"Xushu18S1-042",88,152,124
"Xushu18S1-044",119,184,233
"Xushu18S1-045",73,241,126
"Xushu18S1-046",124,205,197
"Xushu18S1-047",150,194,229
"Xushu18S1-048",220,184,178
"Xushu18S1-049",301,181,167
"Xushu18S1-050",123,197,134
"Xushu18S1-051",219,290,139
"Xushu18S1-052",113,235,167
"Xushu18S1-053",76,291,141
"Xushu18S1-055",79,132,161
"Xushu18S1-056",122,158,213
"Xushu18S1-057",264,204,114
"Xushu18S1-058",154,194,196
"Xushu18S1-059",230,166,194
"Xushu18S1-060",299,216,203
"Xushu18S1-061",115,284,166
"Xushu18S1-062",125,161,212
"Xushu18S1-063",116,187,125
"Xushu18S1-064",123,268,182
"Xushu18S1-065",170,135,206
"Xushu18S1-066",192,206,213
"Xushu18S1-067",175,226,165
"Xushu18S1-069",50,204,134
"Xushu18S1-070",109,261,135
"Xushu18S1-071",83,267,164
"Xushu18S1-074",85,221,117
"Xushu18S1-075",159,253,192
"Xushu18S1-076",191,159,180
"Xushu18S1-077",153,274,165
"Xushu18S1-078",270,212,177
"Xushu18S1-079",69,NA,171
"Xushu18S1-080",182,199,213
"Xushu18S1-081",64,170,172
"Xushu18S1-083",47,217,93
"Xushu18S1-084",192,265,200
"Xushu18S1-085",255,181,249
"Xushu18S1-086",194,200,164
"Xushu18S1-087",281,198,189
"Xushu18S1-088",69,193,121
"Xushu18S1-089",219,155,179
"Xushu18S1-091",226,180,236
"Xushu18S1-092",193,204,207
"Xushu18S1-093",108,269,215
"Xushu18S1-094",261,184,201
"Xushu18S1-095",270,129,269
"Xushu18S1-096",222,192,168
"Xushu18S1-097",39,233,90
"Xushu18S1-098",111,173,183
"Xushu18S1-099",69,178,129
"Xushu18S1-100",171,204,219
"Xushu18S1-101",320,277,305
"Xushu18S1-102",203,247,167
"Xushu18S1-103",185,193,191
"Xushu18S1-104",146,246,130
"Xushu18S1-105",209,207,158
"Xushu18S1-106",232,134,185
"Xushu18S1-107",102,260,182
"Xushu18S1-109",293,297,290
"Xushu18S1-110",177,65,225
"Xushu18S1-111",236,77,143
"Xushu18S1-112",215,82,250
"Xushu18S1-113",176,75,288
"Xushu18S1-114",152,74,201
"Xushu18S1-117",132,78,152
"Xushu18S1-118",150,119,204
"Xushu18S1-119",176,79,253
"Xushu18S1-120",288,248,193
"Xushu18S1-121",258,144,175
"Xushu18S1-122",221,175,224
"Xushu18S1-123",154,147,167
"Xushu18S1-124",91,219,116
"Xushu18S1-125",86,157,203
"Xushu18S1-126",220,166,224
"Xushu18S1-127",338,174,246
"Xushu18S1-128",321,186,170
"Xushu18S1-129",208,133,153
"Xushu18S1-130",209,138,202
"Xushu18S1-131",373,167,231
"Xushu18S1-132",106,179,119
"Xushu18S1-133",179,173,171
"Xushu18S1-134",225,200,180
"Xushu18S1-135",183,208,157
"Xushu18S1-137",312,155,305
"Xushu18S1-138",263,179,151
"Xushu18S1-139",196,115,199
"Xushu18S1-140",81,227,124
"Xushu18S1-142",255,221,132
"Xushu18S1-143",198,220,208
"Xushu18S1-145",273,138,209
"Xushu18S1-146",340,197,208
"Xushu18S1-147",190,282,171
"Xushu18S1-148",190,162,203
"Xushu18S1-149",183,127,170
"Xushu18S1-150",188,215,161
"Xushu18S1-151",204,170,134
"Xushu18S1-153",267,180,139
"Xushu18S1-156",217,219,132
"Xushu18S1-157",135,177,196
"Xushu18S1-158",184,151,246
"Xushu18S1-159",139,168,181
"Xushu18S1-161",215,188,214
"Xushu18S1-162",332,152,139
"Xushu18S1-163",170,155,177
"Xushu18S1-164",149,222,183
